mturk,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,key_resp_6.keys,key_resp_6.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,N,caption,class_caption,model_guessed,target_idx,image_set,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,Q_id,block,is_check,date,expName,psychopyVersion,OS,frameRate
4472427,space,208.6484,space,0.2771,0.216666667,0.065555556,1,0,0,ex4,space,13.3923,space,21.2401,space,2.4032,0.2,0.148888889,1,0,0,image_3,0,0,0,34,1,245,The groom is ever so slightly to the left of center of the image and half of one eye of the bridge is visible,H,0,1,video-storytelling-videowedding_46xhFCXBMJs-shot78_1,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img47.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img55.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img58.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img66.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img70.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img74.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img76.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img78.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img81.jpg,Images/video-storytelling-videowedding_46xhFCXBMJs-shot78_1/img84.jpg,37,3,0,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,-0.531111111,0.143333333,1,0,0,image_0,0,1,1,18,1,203,There is still a little bit of room from the top of the white sign in the basket on the right and the top of image.  You can still just see the basket on the left.  ,H,0,6,MSR-VTT-videoTestVideo_video9053-shot1_8,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img370.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img371.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img376.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img379.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img381.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img383.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img386.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img388.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img391.jpg,Images/MSR-VTT-videoTestVideo_video9053-shot1_8/img394.jpg,912,3,0,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,0.261111111,0.143333333,1,0,0,image_3,0,2,2,36,1,1350,A woman standing on top of a bed in a bedroom.,M,0,8,video-storytelling-videobirthday_fwpYnUDbusw-shot66_5,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img253.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img261.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img268.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img277.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img289.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img294.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img299.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img317.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img336.jpg,Images/video-storytelling-videobirthday_fwpYnUDbusw-shot66_5/img347.jpg,743,3,0,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,-0.473333333,0.077777778,1,0,0,image_0,0,3,3,38,1,933,The right hand is on top of the steering wheel.  The hand is roughly lined up with the truck in the far distance. ,H,0,7,MSR-VTT-videoTestVideo_video9355-shot1_1,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img47.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img50.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img54.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img59.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img69.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img73.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img75.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img78.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img82.jpg,Images/MSR-VTT-videoTestVideo_video9355-shot1_1/img97.jpg,1977,3,0,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,0.195555556,-0.182222222,1,0,0,image_8,0,4,4,53,1,813,Her eyes are closed.,H,1,8,MSR-VTT-videoTestVideo_video8496-shot1_0,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img4.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img6.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img7.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img9.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img11.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img18.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img27.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img69.jpg,Images/MSR-VTT-videoTestVideo_video8496-shot1_0/img75.jpg,135,3,0,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,0.506666667,0.116666667,1,0,0,image_4,0,5,5,45,1,1012,The blue object in their hands is at the top right corner of the bowl. The mixture in the bowl still looks very marbled. ,H,0,4,MSR-VTT-videoTestVideo_video7016-shot1_2,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img224.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img229.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img250.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img261.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img267.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img282.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img350.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img365.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img369.jpg,Images/MSR-VTT-videoTestVideo_video7016-shot1_2/img376.jpg,1275,3,0,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,-0.007777778,0.191111111,1,0,0,image_2,0,6,6,61,1,3,A grey elephant with golden leaves on it. ,H,,2,open-images-1745_0ed62fe71809b2f5,Checks/check4/open-images-2609_3f72daeb23764ecfimg6.jpg,Checks/check4/open-images-1928_60679e2899870e08img1.jpg,Checks/check4/open-images-1745_0ed62fe71809b2f5img2.jpg,Checks/check4/open-images-1811_9ae6351c7f7565edimg0.jpg,Checks/check4/open-images-1721_6f04da11945ea492img3.jpg,Checks/check4/open-images-1907_5f9be3e4ea5e22c7img2.jpg,Checks/check4/open-images-580_0ddffb9c25141999img1.jpg,Checks/check4/open-images-2924_0645dcbcf998fed9img3.jpg,Checks/check4/open-images-869_856ecbcb5faf76e3img8.jpg,Checks/check4/open-images-250_02039517e63a91fbimg1.jpg,,,1,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,-0.49,-0.122222222,1,0,0,image_5,0,7,7,59,1,1,The only picture of a hawk.  It is looking to the left.  You see lots of branches and darker blue sky. ,H,,5,open-images-958_686caac9c5b322e7,Checks/check2/open-images-2603_1b5152f01f0093e7img3.jpg,Checks/check2/open-images-1836_069810916ce5d675img8.jpg,Checks/check2/open-images-974_0748fdedc4bf8b7bimg2.jpg,Checks/check2/open-images-617_01fb725fb1aa7b04img6.jpg,Checks/check2/open-images-507_047769e1f977cd97img2.jpg,Checks/check2/open-images-958_686caac9c5b322e7img5.jpg,Checks/check2/open-images-1278_21851d9bf5dc05c9img7.jpg,Checks/check2/open-images-2424_05f04546e01499f2img0.jpg,Checks/check2/open-images-1529_1442b11a10a6aeadimg3.jpg,Checks/check2/open-images-514_2c523ddedc2561d4img1.jpg,,,1,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,-0.487777778,0.13,1,0,0,image_0,0,8,8,48,1,1385,A little girl petting a horse in a field.,M,0,0,MSR-VTT-videoTestVideo_video8242-shot0_0,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img13.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img15.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img17.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img19.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img21.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img22.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img23.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img28.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot0_0/img36.jpg,1100,3,0,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
,,,,,,,,,,,,,,,,,0.484444444,-0.12,1,0,0,image_9,0,9,9,16,1,423,The girl in red is in profile and looking up and smiling at the other woman. The woman in black is looking down. You can't see any exposed flesh on her right arm.,H,0,9,MSR-VTT-videoTestVideo_video9682-shot0_3,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img230.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img232.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img234.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img238.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img243.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img250.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img253.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img260.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img267.jpg,Images/MSR-VTT-videoTestVideo_video9682-shot0_3/img272.jpg,298,3,0,2022-06-15_04h10.23.786,annotation,2021.2.3,Win32,60.0024001
