,mturk,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,key_resp_6.keys,key_resp_6.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,N,caption,class_caption,model_guessed,target_idx,image_set,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,Q_id,block,is_check,date,expName,psychopyVersion,OS,frameRate,key_resp_7.keys,key_resp_7.rt,mouse.time
0,9323789.0,space,26.0893,space,10.4297,0.267361111,0.092361106,1.0,0.0,0.0,ex4,space,9.784,space,8.7178,space,1.1038,0.427083333,0.074305561,1.0,0.0,0.0,image_4,0.0,0.0,0.0,46.0,1.0,542.0,the elbow of the woman in purple in the left bottom corner is slightly cut off,H,0.0,4.0,MSR-VTT-videoTestVideo_video8525-shot1_1,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img35.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img37.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img40.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img42.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img47.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img49.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img50.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img52.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img55.jpg,Images/MSR-VTT-videoTestVideo_video8525-shot1_1/img56.jpg,466.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
1,,,,,,,,,,,,,,,,,,0.27638891,0.098611116,1.0,0.0,0.0,image_3,0.0,1.0,1.0,3.0,1.0,191.0,Only one hand is visible inside the bowl,H,0.0,3.0,MSR-VTT-videoTestVideo_video7165-shot1_0,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img10.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img12.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img45.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img80.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img88.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img92.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img100.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img149.jpg,Images/MSR-VTT-videoTestVideo_video7165-shot1_0/img475.jpg,960.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
2,,,,,,,,,,,,,,,,,,-0.248611079,0.122222212,1.0,0.0,0.0,image_1,0.0,2.0,2.0,4.0,1.0,1639.0,A man holding an umbrella over a woman.,M,0.0,9.0,video-storytelling-videowedding_de8dLXvgV-I-shot13_1,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img30.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img34.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img40.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img43.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img48.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img58.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img62.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img64.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img65.jpg,Images/video-storytelling-videowedding_de8dLXvgV-I-shot13_1/img68.jpg,649.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
3,,,,,,,,,,,,,,,,,,0.479861153,0.109027783,1.0,0.0,0.0,image_4,0.0,3.0,3.0,38.0,1.0,1088.0,A woman standing in front of a television monitor.,M,0.0,5.0,MSR-VTT-videoTestVideo_video8454-shot1_1,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img86.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img87.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img88.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img89.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img147.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img148.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img152.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img156.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img159.jpg,Images/MSR-VTT-videoTestVideo_video8454-shot1_1/img172.jpg,2027.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
4,,,,,,,,,,,,,,,,,,-0.488888873,-0.127777788,1.0,0.0,0.0,image_5,0.0,4.0,4.0,29.0,1.0,931.0,The dog mascot is sticking its hands out straight towards the sides of its body. ,H,0.0,5.0,video-storytelling-videobirthday__amwPjAcoC8-shot75_0,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img0.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img2.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img4.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img8.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img22.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img38.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img44.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img52.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img56.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot75_0/img59.jpg,961.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
5,,,,,,,,,,,,,,,,,,0.290277799,-0.104861101,1.0,0.0,0.0,image_8,0.0,5.0,5.0,40.0,1.0,1046.0,A group of people standing next to each other.,M,0.0,9.0,MSR-VTT-videoTestVideo_video7047-shot1_0,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img1.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img27.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img32.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img33.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img39.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img82.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img112.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img113.jpg,Images/MSR-VTT-videoTestVideo_video7047-shot1_0/img123.jpg,1546.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
6,,,,,,,,,,,,,,,,,,-0.506944444,-0.149305556,1.0,0.0,0.0,image_5,0.0,6.0,6.0,20.0,1.0,1374.0,A group of people sitting in front of a red bus.,M,0.0,0.0,MSR-VTT-videoTestVideo_video9668-shot1_1,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img45.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img47.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img53.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img55.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img60.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img65.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img67.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img75.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img84.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img93.jpg,858.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
7,,,,,,,,,,,,,,,,,,0.438888868,0.138888889,1.0,0.0,0.0,image_4,0.0,7.0,7.0,32.0,1.0,1116.0,A man in a suit talking on a cell phone.,M,0.0,4.0,MSR-VTT-videoTestVideo_video9623-shot1_1,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img39.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img41.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img43.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img45.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img120.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img138.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img141.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img144.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img146.jpg,Images/MSR-VTT-videoTestVideo_video9623-shot1_1/img148.jpg,82.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
8,,,,,,,,,,,,,,,,,,-0.25,0.147222228,1.0,0.0,0.0,image_1,0.0,8.0,8.0,62.0,1.0,4.0,A penguin holding a piece of paper with text on it. ,H,,1.0,open-images-2521_074d6af730ed17a6,Checks/check5/open-images-509_4d8bd994cb8c6eaeimg0.jpg,Checks/check5/open-images-2521_074d6af730ed17a6img1.jpg,Checks/check5/open-images-1365_a00a5fde334ae45aimg4.jpg,Checks/check5/open-images-1602_44092afdeab39e73img6.jpg,Checks/check5/open-images-1032_059f3cdfb85ee0ceimg3.jpg,Checks/check5/open-images-727_25b77fff36adba66img2.jpg,Checks/check5/open-images-2208_0fb92b9978d98575img2.jpg,Checks/check5/open-images-1305_05769e6abb16fdc8img9.jpg,Checks/check5/open-images-2676_052dbf7b4899430bimg1.jpg,Checks/check5/open-images-2569_1e81d79bb796a2dbimg7.jpg,,,1.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
9,,,,,,,,,,,,,,,,,,0.050694466,-0.142361111,1.0,0.0,0.0,image_7,0.0,9.0,9.0,43.0,1.0,904.0,The two wrestlers are shaking hands. ,H,0.0,7.0,MSR-VTT-videoTestVideo_video9375-shot1_4,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img384.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img397.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img473.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img489.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img506.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img522.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img540.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img555.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img572.jpg,Images/MSR-VTT-videoTestVideo_video9375-shot1_4/img620.jpg,1857.0,1.0,0.0,2022-06-14_18h06.25.074,annotation,2021.2.3,Linux x86_64,90.14693951,,,
